==================== 2026-01-11T23:51:55.436057Z | 891c2d17-7534-4e10-bc9a-2d1ebcbc41ba ====================
21:38:52.448511 [info ]: Loading ~/.dbt/profiles.yml
21:38:52.955115 [info ]: Loading ~/.dbt/profiles.yml
21:38:53.257052 [info ]: Loading ~/.dbt/profiles.yml
21:42:03.388335 [info ]: Loading ~/.dbt/profiles.yml
21:42:05.728464 [info ]: Loading ~/.dbt/profiles.yml
21:43:30.574240 [info ]: Loading ~/.dbt/profiles.yml
21:43:30.902278 [info ]: Loading ~/.dbt/profiles.yml
21:43:43.167338 [info ]: Loading ~/.dbt/profiles.yml
21:43:43.550909 [info ]: Loading ~/.dbt/profiles.yml
21:43:44.073753 [info ]: Loading ~/.dbt/profiles.yml
21:44:16.358858 [info ]: Loading ~/.dbt/profiles.yml
21:44:16.787552 [info ]: Loading ~/.dbt/profiles.yml
21:44:17.070036 [info ]: Loading ~/.dbt/profiles.yml
21:45:06.211572 [info ]: Loading ~/.dbt/profiles.yml
21:45:09.373555 [info ]: Loading ~/.dbt/profiles.yml
21:45:19.207199 [info ]: Loading ~/.dbt/profiles.yml
21:45:20.250216 [info ]: Loading ~/.dbt/profiles.yml
21:45:42.493411 [info ]: Loading ~/.dbt/profiles.yml
22:32:21.315180 [info ]: Loading ~/.dbt/profiles.yml
22:32:26.747279 [info ]: Loading ~/.dbt/profiles.yml
22:32:29.087755 [info ]: Loading ~/.dbt/profiles.yml
22:32:29.362410 [info ]: Loading ~/.dbt/profiles.yml
22:32:29.416054 [info ]: Loading ~/.dbt/profiles.yml
22:32:29.567137 [info ]: Loading ~/.dbt/profiles.yml
22:32:29.796116 [info ]: Loading ~/.dbt/profiles.yml
22:32:29.989768 [info ]: Loading ~/.dbt/profiles.yml
22:32:30.193081 [info ]: Loading ~/.dbt/profiles.yml
22:32:30.371234 [info ]: Loading ~/.dbt/profiles.yml
22:32:30.625681 [info ]: Loading ~/.dbt/profiles.yml
22:32:31.023979 [info ]: Loading ~/.dbt/profiles.yml
22:32:31.699102 [info ]: Loading ~/.dbt/profiles.yml
22:32:31.972269 [info ]: Loading ~/.dbt/profiles.yml
22:32:32.026557 [info ]: Loading ~/.dbt/profiles.yml
22:32:32.154036 [info ]: Loading ~/.dbt/profiles.yml
22:32:32.544759 [info ]: Loading ~/.dbt/profiles.yml
22:32:49.441166 [info ]: Loading ~/.dbt/profiles.yml
22:32:49.699464 [info ]: Loading ~/.dbt/profiles.yml
22:32:49.781199 [info ]: Loading ~/.dbt/profiles.yml
22:32:49.874360 [info ]: Loading ~/.dbt/profiles.yml
22:32:50.036981 [info ]: Loading ~/.dbt/profiles.yml
22:32:50.436819 [info ]: Loading ~/.dbt/profiles.yml
22:34:10.791651 [info ]: Loading ~/.dbt/profiles.yml
22:34:11.484247 [info ]: Loading ~/.dbt/profiles.yml
22:34:11.798580 [info ]: Loading ~/.dbt/profiles.yml
22:37:20.783795 [info ]: Loading ~/.dbt/profiles.yml
22:37:23.048856 [info ]: Loading ~/.dbt/profiles.yml
22:37:51.205233 [info ]: Loading ~/.dbt/profiles.yml
22:37:51.918369 [info ]: Loading ~/.dbt/profiles.yml
22:38:31.526161 [info ]: Loading ~/.dbt/profiles.yml
22:38:32.091926 [info ]: Loading ~/.dbt/profiles.yml
22:56:12.140460 [info ]: Loading ~/.dbt/profiles.yml
22:56:15.033670 [info ]: Loading ~/.dbt/profiles.yml
23:01:38.023454 [info ]: Loading ~/.dbt/profiles.yml
23:01:41.120824 [info ]: Loading ~/.dbt/profiles.yml
23:09:12.969696 [info ]: Loading ~/.dbt/profiles.yml
23:09:16.879177 [info ]: Loading ~/.dbt/profiles.yml
23:09:32.621956 [info ]: Loading ~/.dbt/profiles.yml
23:09:32.875227 [info ]: Loading ~/.dbt/profiles.yml
23:09:32.966002 [info ]: Loading ~/.dbt/profiles.yml
23:09:33.040155 [info ]: Loading ~/.dbt/profiles.yml
23:09:33.191344 [info ]: Loading ~/.dbt/profiles.yml
23:09:33.366522 [info ]: Loading ~/.dbt/profiles.yml
23:09:33.514085 [info ]: Loading ~/.dbt/profiles.yml
23:09:33.917915 [info ]: Loading ~/.dbt/profiles.yml
23:10:02.394967 [info ]: Loading ~/.dbt/profiles.yml
23:10:02.639015 [info ]: Loading ~/.dbt/profiles.yml
23:10:02.728621 [info ]: Loading ~/.dbt/profiles.yml
23:10:03.040603 [info ]: Loading ~/.dbt/profiles.yml
23:10:25.950376 [info ]: Loading ~/.dbt/profiles.yml
23:10:26.220025 [info ]: Loading ~/.dbt/profiles.yml
23:10:26.694819 [info ]: Loading ~/.dbt/profiles.yml
23:11:09.604647 [info ]: Loading ~/.dbt/profiles.yml
23:11:10.499351 [info ]: Loading ~/.dbt/profiles.yml
23:11:31.815986 [info ]: Loading ~/.dbt/profiles.yml
23:19:53.019425 [info ]: Loading ~/.dbt/profiles.yml
23:19:56.058092 [info ]: Loading ~/.dbt/profiles.yml
==================== 2026-01-12T23:21:51.916338Z | 839f9470-7178-410f-ac30-762c5ae7abc4 ====================
23:21:51.916423 [info ]: Starting dbt LSP server
23:21:51.916474 [info ]: Connecting to LSP client on port 8000
23:21:51.918527 [info ]: Successfully connected to LSP client
23:21:51.918565 [info ]: Creating LSP service...
23:21:52.050379 [info ]: Creating LSP server...
23:21:52.050412 [info ]: Starting LSP server...
23:21:52.203157 [info ]: Started loading project
23:21:52.212256 [info ]: Loading ~/.dbt/profiles.yml
23:21:52.213983 [info ]: Finished loading project [  0.01s]
23:22:22.294074 [info ]: Loading ~/.dbt/profiles.yml
23:22:25.561483 [info ]: Loading ~/.dbt/profiles.yml
23:24:48.644229 [info ]: Loading ~/.dbt/profiles.yml
23:24:50.685794 [info ]: Loading ~/.dbt/profiles.yml
23:27:51.270211 [info ]: Loading ~/.dbt/profiles.yml
23:27:54.445890 [info ]: Loading ~/.dbt/profiles.yml
23:30:55.087988 [info ]: Loading ~/.dbt/profiles.yml
23:30:57.405183 [info ]: Loading ~/.dbt/profiles.yml
23:48:51.982151 [info ]: Loading ~/.dbt/profiles.yml
23:48:55.893188 [info ]: Loading ~/.dbt/profiles.yml
00:00:25.207023 [info ]: Loading ~/.dbt/profiles.yml
00:00:28.455683 [info ]: Loading ~/.dbt/profiles.yml
00:00:47.910578 [info ]: Loading ~/.dbt/profiles.yml
00:00:48.160858 [info ]: Loading ~/.dbt/profiles.yml
00:00:48.248421 [info ]: Loading ~/.dbt/profiles.yml
00:00:48.344457 [info ]: Loading ~/.dbt/profiles.yml
00:00:48.745517 [info ]: Loading ~/.dbt/profiles.yml
01:09:04.040192 [info ]: Loading ~/.dbt/profiles.yml
01:09:07.609532 [info ]: Loading ~/.dbt/profiles.yml
01:23:49.159858 [info ]: Loading ~/.dbt/profiles.yml
01:23:52.669158 [info ]: Loading ~/.dbt/profiles.yml
01:26:53.223883 [info ]: Loading ~/.dbt/profiles.yml
01:26:55.209643 [info ]: Loading ~/.dbt/profiles.yml
01:51:34.618287 [info ]: Loading ~/.dbt/profiles.yml
01:51:37.859909 [info ]: Loading ~/.dbt/profiles.yml
==================== 2026-01-13T03:53:14.794774Z | 12320f31-24c9-47ce-9671-d98f5331498c ====================
03:53:14.794864 [info ]: Starting dbt LSP server
03:53:14.794911 [info ]: Connecting to LSP client on port 8000
03:53:14.796640 [info ]: Successfully connected to LSP client
03:53:14.796682 [info ]: Creating LSP service...
03:53:14.851340 [info ]: Creating LSP server...
03:53:14.851365 [info ]: Starting LSP server...
03:53:14.936432 [info ]: Started loading project
03:53:14.957782 [info ]: Loading ~/.dbt/profiles.yml
03:53:14.971286 [info ]: Finished loading project [  0.03s]
03:53:49.290292 [info ]: Loading ~/.dbt/profiles.yml
03:53:52.942054 [info ]: Loading ~/.dbt/profiles.yml
03:57:20.728693 [info ]: Loading ~/.dbt/profiles.yml
03:57:22.891887 [info ]: Loading ~/.dbt/profiles.yml
==================== 2026-01-14T00:52:31.965934Z | a124b4b7-0bd4-4101-973a-9c1ab32c0143 ====================
00:52:31.966118 [info ]: Starting dbt LSP server
00:52:31.966229 [info ]: Connecting to LSP client on port 8000
00:52:31.969658 [info ]: Successfully connected to LSP client
00:52:31.969689 [info ]: Creating LSP service...
00:52:32.054785 [info ]: Creating LSP server...
00:52:32.054815 [info ]: Starting LSP server...
00:52:32.087224 [info ]: Started loading project
00:52:32.121677 [info ]: Loading ~/.dbt/profiles.yml
00:52:32.123079 [info ]: Finished loading project [  0.04s]
00:52:40.680719 [info ]: Loading ~/.dbt/profiles.yml
00:52:41.124382 [info ]: Loading ~/.dbt/profiles.yml
00:52:44.386707 [info ]: Loading ~/.dbt/profiles.yml
01:10:20.662199 [info ]: Loading ~/.dbt/profiles.yml
01:10:23.030625 [info ]: Loading ~/.dbt/profiles.yml
01:19:23.509136 [info ]: Loading ~/.dbt/profiles.yml
01:19:26.313274 [info ]: Loading ~/.dbt/profiles.yml
==================== 2026-01-21T23:03:26.172148Z | d223d8ae-4a2a-4abc-80af-d6bf51f1b78b ====================
23:03:26.172187 [info ]: Starting dbt LSP server
23:03:26.172207 [info ]: Connecting to LSP client on port 8000
23:03:26.174266 [info ]: Successfully connected to LSP client
23:03:26.174283 [info ]: Creating LSP service...
23:03:26.241683 [info ]: Creating LSP server...
23:03:26.241713 [info ]: Starting LSP server...
23:03:26.342761 [info ]: Started loading project
23:03:26.367659 [info ]: Loading ~/.dbt/profiles.yml
23:03:26.368993 [info ]: Finished loading project [  0.03s]
23:03:57.238821 [info ]: Loading ~/.dbt/profiles.yml
23:03:58.998374 [info ]: Loading ~/.dbt/profiles.yml
23:04:02.687827 [info ]: Loading ~/.dbt/profiles.yml
23:04:04.143735 [info ]: Loading ~/.dbt/profiles.yml
23:06:18.467401 [info ]: Loading ~/.dbt/profiles.yml
23:06:20.057676 [info ]: Loading ~/.dbt/profiles.yml
==================== 2026-01-22T23:22:39.318443Z | debaa8f9-ca40-423e-ab30-98b09f7cb2b1 ====================
23:22:39.318722 [info ]: Starting dbt LSP server
23:22:39.318740 [info ]: Connecting to LSP client on port 8000
23:22:39.320198 [info ]: Successfully connected to LSP client
23:22:39.320212 [info ]: Creating LSP service...
23:22:39.374264 [info ]: Creating LSP server...
23:22:39.374290 [info ]: Starting LSP server...
23:22:39.433932 [info ]: Started loading project
23:22:39.451814 [info ]: Loading ~/.dbt/profiles.yml
23:22:39.452578 [info ]: Finished loading project [  0.02s]
23:23:08.494882 [info ]: Loading ~/.dbt/profiles.yml
23:23:10.089183 [info ]: Loading ~/.dbt/profiles.yml
23:23:10.379590 [info ]: Loading ~/.dbt/profiles.yml
23:30:46.985417 [info ]: Loading ~/.dbt/profiles.yml
23:30:49.910479 [info ]: Loading ~/.dbt/profiles.yml
23:33:23.006412 [info ]: Loading ~/.dbt/profiles.yml
23:33:23.511852 [info ]: Loading ~/.dbt/profiles.yml
23:33:23.955136 [info ]: Loading ~/.dbt/profiles.yml
23:33:44.323447 [info ]: Loading ~/.dbt/profiles.yml
23:33:50.435549 [info ]: Loading ~/.dbt/profiles.yml
23:33:50.838247 [info ]: Loading ~/.dbt/profiles.yml
23:33:52.815684 [info ]: Loading ~/.dbt/profiles.yml
23:35:19.593350 [info ]: Loading ~/.dbt/profiles.yml
==================== 2026-01-22T23:58:40.958242Z | 75b2c7a5-e296-4d35-93f5-fc81f8c8eec0 ====================
23:58:40.958311 [info ]: Starting dbt LSP server
23:58:40.958350 [info ]: Connecting to LSP client on port 8000
23:58:40.960202 [info ]: Successfully connected to LSP client
23:58:40.960219 [info ]: Creating LSP service...
23:58:41.020994 [info ]: Creating LSP server...
23:58:41.021029 [info ]: Starting LSP server...
23:58:41.040827 [info ]: Started loading project
23:58:41.046497 [info ]: Loading ~/.dbt/profiles.yml
23:58:41.047509 [info ]: Finished loading project [  0.01s]
23:58:51.052593 [info ]: Loading ~/.dbt/profiles.yml
23:59:21.423122 [info ]: Loading ~/.dbt/profiles.yml
23:59:33.526235 [info ]: Loading ~/.dbt/profiles.yml
